dataset,scene,image,rotation_matrix,translation_vector
ETs,ET,et007.jpg,0.735275229344255;-0.2084894420489874;0.6449050237568748;0.30508165635358603;0.9514759640201449;-0.04023273354481942;-0.6052235290116419;0.22633082522280945;0.7632030119729982,-4.203666365706776;-0.929380743992855;2.453673429226721
ETs,ET,et003.jpg,0.8426158817045721;0.04725477687078547;-0.5364377521783107;-0.06685952281335822;0.9976151599174077;-0.017140505014006546;0.5343484631852106;0.05030883387495114;0.8437658094078867,3.6606341305732752;-1.6507155784005587;1.8441596232023005
ETs,ET,et006.jpg,0.7753985566563503;-0.17062220064325778;0.607984492386854;0.23536688612436418;0.9715164700301685;-0.02753502090504395;-0.5859688620151837;0.16445003225226956;0.7934712846983552,-3.4819463365071166;-1.4121356827829343;1.8611185543447089
ETs,ET,et001.jpg,0.9626202139870543;0.14197595993222487;-0.23066241658501926;-0.14306061906401094;0.9896399055197678;0.012104407290199204;0.22999126700059644;0.021346760975575627;0.9729585463416784,1.5282597375406897;-1.8212020570702852;1.794418595573207
ETs,ET,et004.jpg,0.9746811267871628;-0.10844641394913192;-0.19554047250244705;0.026402306922177363;0.9242130737876115;-0.38096340038019677;0.2220351757584682;0.36615511677652207;0.9036762756564309,1.653293315146111;1.277033625914383;0.7653454993854908
ETs,ET,et002.jpg,0.9991080692978139;-0.009429738210588933;-0.04116000365979649;0.009426141294314757;0.9999555333304284;-0.00028146431036106805;0.041160827546276514;-0.00010676674647066684;0.9991525283341716,0.6336352016380675;-1.4800919522147014;1.8626396271025143
ETs,ET,et008.jpg,0.4945065216084439;-0.38910667521193515;0.77721251623493;0.5828566747983925;0.8117958902906054;0.03557427652453782;-0.6447801150234697;0.4354117910814968;0.6282317848195238,-5.418369139578136;-2.198520346974243;2.9131052338848655
ETs,ET,et005.jpg,0.7260306066399584;-0.23998403195013357;0.6444278257733531;0.4292319329823849;0.8903061179007827;-0.15203606196111175;-0.537251808680268;0.38699183562110817;0.7493983007936339,-3.6397042435592106;-0.47044423294766385;1.5232010092604125
ETs,ET,et000.jpg,0.8798322375656289;0.10071803570857447;-0.4644901624612357;-0.1310649053593286;0.9908103660135171;-0.033418695116811586;0.456855802549786;0.09028120448446891;0.8849475011510143,3.319348172666927;-1.6088866480134245;1.4844031975111651
ETs,another_ET,another_et006.jpg,0.9188426058856294;0.18757075901276915;-0.347196595566085;-0.22052892260914236;0.9736783239726429;-0.057597879463362346;0.3272541212913243;0.1294902768133531;0.9360219058914403,-0.5801303983482614;-0.7156257171547654;1.036638245003499
ETs,another_ET,another_et002.jpg,0.9999863426290393;0.000423073365488899;-0.00520918077292816;-0.00053266866717345;0.9997781665965458;-0.021055494792108657;0.005199117183584361;0.0210579819967849;0.9997647376131719,-2.654143724230379;-1.1625030711115678;1.179394162505808
ETs,another_ET,another_et010.jpg,-0.19913391105779454;0.34010908632597847;-0.9190601149355435;-0.5657399166429201;0.7258794680365258;0.3911998780673023;0.8001775004233049;0.5978501545383412;0.04786606872089394,5.692198872920415;-2.140536030708066;4.174842331100226
ETs,another_ET,another_et004.jpg,0.9994731319443059;-0.008212843780792354;0.03140075983909339;0.004721166258404998;0.9939540671042245;0.10969513697576248;-0.03211182197572443;-0.10948909390438437;0.9934691586583835,-2.768553144271441;-1.430673287744023;-0.1702246167970903
ETs,another_ET,another_et007.jpg,0.7763450854509019;0.25343466971568107;-0.5771127935528162;-0.31241471572221835;0.9499407272127397;-0.003108083450737195;0.5474352506885516;0.18271147464960946;0.816658535334645,1.1417476163402323;-0.42885185631292005;0.5712320979632575
ETs,another_ET,another_et008.jpg,0.563979924450879;0.2960063759824986;-0.7709130107827269;-0.3964200379027805;0.9159934515247612;0.061702109468906835;0.724415487386582;0.27080661391750127;0.6339447763748814,2.8181157702148725;-0.7289358777662961;1.3268792932230855
ETs,another_ET,another_et003.jpg,0.9981394642250426;-0.03901295612889311;0.04685722154193405;0.04296772094139693;0.9953167032269377;-0.08659350572971582;-0.04325950662741159;0.08844574343372975;0.9951411787052166,-2.861995546132342;0.3431014655994023;-0.6283727340575913
ETs,another_ET,another_et005.jpg,0.9956754629211784;0.006921778563065766;0.09264157553831355;-0.011528058279937676;0.9987185144449015;0.049279131255163124;-0.09218175746313113;-0.050133999306788975;0.9944793138645547,-3.297224302487378;-2.118599546051584;1.3172080307379763
ETs,another_ET,another_et001.jpg,0.9999457488898823;-0.0010145816142928137;0.010366769082038136;0.0009528416797826197;0.9999817924327458;0.00595876629230047;-0.010372625983116902;-0.005948565132948134;0.9999285090460585,-2.8110489612943215;-1.9354781052775476;2.7714197319116516
ETs,another_ET,another_et009.jpg,0.3100307182591361;0.32934530695051;-0.8918590822127666;-0.49398135802441934;0.8573184063280808;0.14487086696582632;0.8123197471809205;0.39564734165763593;0.42848548327705493,4.471174329389492;-1.0553907870361847;1.9816141572056691
ETs,outliers,out_et001.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
ETs,outliers,out_et003.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
ETs,outliers,out_et002.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,kermit,kermit010.jpg,0.9980697347477162;0.059168920072579116;-0.01886381398519988;-0.045604598335977194;0.9044705393767327;0.4240911034320061;0.042154776612356344;-0.42241221845136895;0.9054230461567429,0.37418418810062576;-2.996596043648553;1.07201858163539
kermits,kermit,kermit004.jpg,0.4721619525473595;-0.3588760960709624;0.8051528042772569;0.35750945372716936;0.9128467381349311;0.19722531067821258;-0.8057605606272662;0.19472745144247605;0.5593130953163461,-4.1641558084251;-1.3938462847213053;2.3012633581951745
kermits,kermit,kermit001.jpg,0.9983686939368508;0.0016268890161160266;-0.05707279736403352;-0.0017222697137724665;0.9999972013445931;-0.0016220635049871552;0.057069998719640885;0.0017177121733370044;0.9983687017885876,-0.05010845285762921;-0.22355760990672333;1.102104374127948
kermits,kermit,kermit000.jpg,0.9362983436386627;0.12303182790096964;-0.3289507273480981;-0.09972996816645374;0.9912156816917405;0.0868642954147234;0.33674819249554216;-0.04852465035138739;0.940343561236669,1.483751325265218;-0.6788487272944601;1.7960419003701225
kermits,kermit,kermit009.jpg,0.9868601471595748;0.08329240594861076;0.13845369283437067;-0.13790493355897265;0.8807202666876753;0.4531159246215977;-0.0841978577416182;-0.46625549536373506;0.8806341656981294,-1.2109725369876223;-2.6467658578670346;1.2981836786394039
kermits,kermit,kermit005.jpg,0.7924906453142657;0.2210769582198923;-0.5684043944531206;-0.20115816049797633;0.9745841738198835;0.09859555063432368;0.5757551315919375;0.03620313085984533;0.8168202750675915,3.342740078316496;-0.8595300815774757;1.7513009720436277
kermits,kermit,kermit007.jpg,0.9763823656510741;0.03977646029963917;-0.2123565615930986;-0.08799009748816275;0.9709070540576348;-0.22270436709940974;0.19732009220967808;0.2361298913461747;0.9514764608876081,0.717135261733489;1.3739871818062104;1.821623172354917
kermits,kermit,kermit006.jpg,0.44821070758288284;0.3674454776386799;-0.8149177765707004;-0.4069169901359844;0.8955553790131557;0.1799975729260651;0.795943292418953;0.2509270493260648;0.5509173179069542,4.617620043819919;-1.2660396364754414;3.656995644932523
kermits,kermit,kermit008.jpg,0.9936032109828775;-0.0026249598551681547;-0.1128971598857748;-0.06534592602398233;0.8019890311128173;-0.5937537401370984;0.09210086360389717;0.5973329921915275;0.7966873460542303,0.4909340607417607;3.4067908703757475;2.319112427863046
kermits,kermit,kermit002.jpg,0.9335535946624438;-0.18109416611213563;0.3093260236271432;0.1578732771016388;0.9825100106329562;0.0987426320452192;-0.32179762937290085;-0.04334722604940937;0.9458156816863434,-1.9016059339676354;-0.7473921223661244;2.316680792459834
kermits,kermit,kermit003.jpg,0.745122478132908;-0.2562385282344306;0.6157388319972414;0.28264204668814696;0.9575626927893416;0.056454962775298385;-0.6040744705953145;0.131967821935038;0.7859252686793526,-3.4518997303118084;-0.8273288946218382;2.473374672678914
kermits,dioscuri,dioscuri009.jpg,0.3007399445275871;-0.14454107858001403;0.9426894304957865;0.18835419274409615;0.9779812632893884;0.08986293301808007;-0.9349214853886201;0.15053413319848186;0.32134294904496974,-4.735299950432631;-0.6278246234040387;2.1264264157081354
kermits,dioscuri,dioscuri007.jpg,0.6960815821744705;-0.090711733151939;0.7122091072333023;0.13220630350538867;0.9912177891399179;-0.002964423386490618;-0.7056854286939238;0.09622201391129126;0.7019611098685797,-2.4944873483837866;-0.3266290237222604;0.9129859677981804
kermits,dioscuri,dioscuri002.jpg,0.9981738548809502;0.041298869982104185;0.04408354307794346;-0.0380340500519162;0.9966436002873136;-0.07249099973782908;-0.0469293774596678;0.07068194496859051;0.9963943477292037,3.4267544945594466;-0.5990169118318288;1.716069694513121
kermits,dioscuri,dioscuri004.jpg,0.9472992249995843;-0.011038794923411746;0.3201598402701778;0.03197068104871408;0.9976743910464851;-0.06019705145026934;-0.318750770773136;0.06726034832398535;0.9454490952319262,1.218756122756087;-0.3306645339366661;0.9291828250608375
kermits,dioscuri,dioscuri006.jpg,0.8227237700175467;-0.06002320770621422;0.5652634896973018;0.09511909249715755;0.9949255305565623;-0.032795531544102446;-0.5604265843896344;0.08074901351347706;0.8242582364319863,-1.2678722793349357;-0.25083487114029424;0.7388237229262727
kermits,dioscuri,dioscuri005.jpg,0.8967815042703917;-0.03563571897766889;0.4410363127129988;0.06402435411367814;0.996712494257036;-0.049649631139055156;-0.43781710299948284;0.07276193596147988;0.8961148838158407,-0.0005575251171848286;-0.22818253575007796;0.7886694213770284
kermits,dioscuri,dioscuri010.jpg,0.029583673479105954;-0.16470734085331196;0.9858987261035045;0.19770128692468436;0.9678095014261512;0.15575291360866506;-0.9798158027975491;0.1903057035884515;0.06119421353281007,-5.42451619883025;-0.9485989192951679;3.365513795243809
kermits,dioscuri,dioscuri001.jpg,0.9860121786243942;0.07420970707130915;-0.14924109012187722;-0.08523473889036455;0.9939771499269784;-0.06888007483541574;0.14323066323475278;0.08063711800053115;0.9863988201077195,4.234702100486915;-0.8259667729540308;2.4962349291484016
kermits,dioscuri,dioscuri003.jpg,0.9794780345456536;0.012679161872761089;0.2011517305339124;0.0011061303939947451;0.9976661419859089;-0.06827185079155114;-0.2015479008030966;0.06709327827105084;0.9771780470787852,2.3953696064871504;-0.433317223816383;1.2058183510757996
kermits,dioscuri,dioscuri008.jpg,0.50116133647519;-0.12203442179454954;0.856705850756064;0.16683293803287225;0.9850591504380576;0.04272283845406281;-0.8491195944092452;0.12151571929393379;0.5140329214697796,-3.658018457352293;-0.4324487587938139;1.431579833502757
kermits,outliers,out_kermit003.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,outliers,out_kermit002.jpeg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,outliers,out_kermit001.jpeg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
