dataset,scene,image,rotation_matrix,translation_vector
kermits,kermit,kermit009.jpg,0.9637144961056718;0.03719622308706584;0.2643308740647758;-0.19201244916677696;0.7844962428335979;0.5896582606433531;-0.18543351736071617;-0.6190170320500283;0.7631725392538748,-1.2843453797598705;-2.8400258715034905;1.3752570798813633
kermits,kermit,kermit008.jpg,0.9999990061387606;-0.0014044718843820667;0.00012320802352119669;0.0013174723300184757;0.8997752110628252;-0.4363517317755345;0.0005019842136117447;0.4363514604256234;0.8997761671639647,0.5537869136197654;3.6170592749319;2.297584985998602
kermits,kermit,kermit007.jpg,0.9942373718112406;0.05923710515881201;-0.0893477132683356;-0.06344028931913843;0.9969724455453914;-0.0449585644159756;0.0864139929929226;0.050367729705092575;0.9949852831169785,0.7883990129660522;1.4378338609954195;1.7009855771460352
kermits,kermit,kermit004.jpg,0.37382640985099913;-0.5074924796281174;0.7763409034817229;0.3307349740363078;0.8549396069456684;0.3996156220980217;-0.866526509835167;0.1073762152270743;0.4874445159773503,-4.449776560349057;-1.4773321419638716;2.4102815539798037
kermits,kermit,kermit000.jpg,0.968062748544013;0.1628014230493998;-0.19065731440073683;-0.11036415082682652;0.9595551788799307;0.25898573879072523;0.2251094602491964;-0.22967271352469068;0.9468770646543937,1.5957795229582799;-0.7511135162592314;1.7698101249580214
kermits,kermit,kermit001.jpg,0.9982808276917943;-0.006998031059439647;0.058192925895483576;-0.004042955747784482;0.9822604778823525;0.1874780203094592;-0.05847258820855788;-0.1873909847127755;0.9805435101394373,-0.03246475973777242;-0.2753937583967894;1.0514254633498858
kermits,kermit,kermit010.jpg,0.9930331073280219;0.04037256688014013;0.11070367470848493;-0.09722132761827873;0.8115579298033999;0.5761264965520673;-0.06658273955457787;-0.5828754433124873;0.8098289673608118,0.38682351730520587;-3.209141894481872;1.0732908909537737
kermits,kermit,kermit002.jpg,0.8931913765414276;-0.2523826911403825;0.37217219413165203;0.1437722852654493;0.9444812075929988;0.295439974433422;-0.4260735791639515;-0.21037639058698837;0.8798881061941972,-1.9944037446550782;-0.8027795913704047;2.4170009189262993
kermits,kermit,kermit005.jpg,0.8514743222199311;0.3061449519515522;-0.4257543270416527;-0.21260474077550998;0.9437104310421159;0.2533966190423263;0.47936489525192294;-0.12524332611714462;0.8686330677928555,3.587397534352073;-0.9297195621649079;1.888149087514575
kermits,kermit,kermit006.jpg,0.5371478691259022;0.49838262209520173;-0.6805049071733532;-0.4227877556228424;0.8571922003466292;0.2940612952435325;0.7298785381067884;0.12975474426168637;0.6711490340845929,4.950306742795202;-1.357461536215134;4.078107802196524
kermits,outliers,out_kermit001.jpeg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,outliers,out_kermit002.jpeg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,outliers,out_kermit003.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
